origin;destination;tabblad;scherm;bestand;groep
association.subject;trefwoord_1;inhoudelijke;trefwoord;;all
association.subject.type;trefwoord_2;inhoudelijke;trefwoord;;all
content.subject;trefwoord_3;inhoudelijke;trefwoord;;all
content.subject.name;trefwoord_4;inhoudelijke;trefwoord;;all
documentation.title.article;preferred_label_occur_1;identificatie;documentatie;ca_occurrences;all
documentation.title;preferred_label_occur_2;identificatie;documentatie;ca_occurrences;all
documentation.page_reference;refPagina;referentie;documentatie;ca_occurrences;all
creator;vervaardiger;fysieke;vervaardiger;ca_objects_x_entities;all
creator.role;vervaardigerRol;fysieke;vervaardiger;;all
production.date.end;objectVervaardigingDate_1;fysieke;vervaardiging;;all
production.date.notes;objectVervaardigingNote_1;fysieke;vervaardiging;;all
production.date.start;objectVervaardigingDate_2;fysieke;vervaardiging;;all
production.date.end.prec;objectVervaardigingDate_3;fysieke;vervaardiging;;all
production.reason;objectVervaardigingNote_2;fysieke;vervaardiging;;all
production.notes;objectVervaardigingNote_3;fysieke;vervaardiging;;all
production.period;objectVervaardigingDate_4;fysieke;vervaardiging;;all
production.place;objectVervaardigingPlace;fysieke;vervaardiging;;all
production_date.start.prec;objectVervaardigingDate_5;fysieke;vervaardiging;;all
administration_name;collectieBeschrijving_1;identificatie;collectiebeschrijving;ca_collections;all
collection;collectieBeschrijving_2;identificatie;collectiebeschrijving;ca_collections;all
current_owner;eigenaar_van;verwerving;bewaarinstelling;ca_objects_x_entities;all
institution.name;bewaarinstelling;beheer;bewaarinstelling;ca_objects_x_entities;all
alternative_number;objectInventarisnrBplts_1;verwerving;inventarisnummer;;all
alternative_number.institution;bewaarinstelling_van;verwerving;bewaarinstelling;ca_objects_x_entities;all
alternative_number.type;objectInventarisnrBplts_2;verwerving;inventarisnummer;;all
acquisition.source;acquisitionSource;verwerving;verwerving;ca_objects_x_entities;all
related_object.notes;related_object_notes_1;relaties;gerelateerde_objecten;ca_objects_x_objects;xll
related_object.reference;related;relaties;gerelateerde_objecten;ca_objects_x_objects;xll
related_object.title;related_object_notes_2;relaties;gerelateerde_objecten;ca_objects_x_objects;xll
object_number;adlibObjectNummer;identificatie;objectnummer;;xll
association.period;objectVervaardigingNote_a2;fysieke;vervaardiging;
association.period.date.end;objectVervaardigingNote_a4;fysieke;vervaardiging;
association.period.date.start;objectVervaardigingNote_a3;fysieke;vervaardiging;
association.period.note;objectVervaardigingNote_a1;fysieke;vervaardiging;
object_name.authority;objectnaamOpmerkingen_3;identificatie;objectnaam_bijkomende_info;
content.person.name;afgebeeld;relaties;gerelateerde_entiteiten;ca_objects_x_entities;all